cell_id,vertex_id
1,224
1,225
1,226
2,223
2,224
2,225
2,226
3,225
3,226
3,227
4,225
4,226
4,227
5,18
5,19
5,227
6,18
6,19
6,227
7,18
7,19
7,227
8,18
8,227
9,18
9,227
10,18
10,132
11,18
11,132
12,131
12,132
13,130
13,131
13,132
14,130
14,131
15,130
15,131
16,130
16,131
17,222
17,223
17,224
17,225
18,224
18,225
18,226
19,225
19,226
19,227
20,226
20,227
21,18
21,19
21,227
22,18
22,19
22,227
23,18
23,19
23,227
24,18
25,17
25,18
26,17
26,18
26,132
27,17
27,18
27,132
28,16
28,17
28,132
29,131
30,130
30,131
31,127
31,128
31,130
32,127
32,128
32,130
33,222
33,223
33,225
34,222
34,223
34,224
34,225
35,223
35,225
35,226
35,229
35,230
35,231
36,223
36,224
36,225
36,226
36,227
36,228
36,229
36,230
36,231
37,19
37,20
37,21
37,227
37,228
37,229
37,230
37,232
37,235
38,19
38,20
38,227
38,228
38,229
39,18
39,19
39,20
40,17
40,18
40,19
41,17
41,18
41,19
42,16
42,17
42,18
43,15
43,16
43,17
43,132
43,133
44,15
44,16
44,17
44,132
44,133
44,134
44,137
44,140
45,128
45,129
45,132
45,133
45,134
45,135
45,137
45,140
46,126
46,127
46,128
46,129
46,130
46,134
46,135
46,136
46,137
47,125
47,126
47,127
47,128
47,129
47,130
47,136
48,125
48,126
48,127
48,128
48,129
48,130
49,219
49,220
49,221
49,222
49,223
50,220
50,221
50,222
50,223
50,231
50,232
50,233
50,234
51,223
51,224
51,230
51,231
51,232
51,233
51,234
51,235
51,236
52,229
52,232
52,235
52,237
52,238
53,20
53,21
53,228
53,229
53,232
53,235
54,19
54,20
54,21
54,44
55,19
55,20
55,21
55,44
56,16
56,17
56,18
56,19
56,20
57,16
57,17
57,18
57,19
57,20
58,15
58,16
58,17
59,14
59,15
59,16
59,17
60,15
60,16
60,133
60,134
60,137
60,140
60,142
60,143
61,134
61,137
61,140
61,142
61,143
62,127
62,128
62,136
62,137
62,138
62,139
62,140
62,141
63,123
63,124
63,125
63,126
63,127
63,136
63,138
63,139
64,123
64,124
64,125
64,126
65,217
65,218
65,219
65,220
65,221
65,222
66,217
66,218
66,219
66,220
66,221
66,234
66,236
66,237
67,233
67,234
67,236
67,237
67,238
67,239
68,236
68,237
68,238
68,239
69,20
69,21
69,22
69,183
69,237
69,238
70,20
70,21
70,22
70,23
70,44
70,183
70,238
71,21
71,22
71,23
71,44
71,45
72,44
72,45
72,46
73,44
73,45
73,46
74,13
74,14
74,15
74,46
75,13
75,14
75,15
75,46
75,86
76,14
76,15
76,86
76,87
76,118
76,143
77,86
77,87
77,88
77,118
77,119
77,120
77,140
77,141
77,142
77,143
78,118
78,119
78,120
78,121
78,122
78,123
78,139
78,141
78,142
79,121
79,122
79,123
79,124
79,139
79,141
79,142
80,121
80,122
80,123
80,124
80,125
81,186
81,187
81,217
81,218
81,219
82,185
82,186
82,215
82,216
82,217
82,218
83,184
83,185
83,186
83,215
83,216
83,239
84,22
84,183
84,184
84,185
84,214
85,22
85,183
85,184
86,21
86,22
86,23
86,183
87,22
87,23
87,44
88,44
88,45
89,45
89,46
90,13
90,14
90,46
91,13
91,14
91,15
91,86
92,49
92,50
92,86
92,87
92,88
92,118
93,50
93,86
93,87
93,88
93,118
94,89
94,120
95,89
95,90
95,121
96,90
96,121
96,122
97,186
97,187
97,217
98,185
98,186
98,187
98,216
98,217
99,184
99,185
99,186
99,212
99,213
99,214
99,215
100,147
100,184
100,214
101,145
101,146
101,147
101,183
102,23
102,24
102,144
102,145
102,146
103,37
103,38
104,36
104,37
104,45
105,36
105,37
105,45
106,35
106,36
107,12
107,13
107,47
107,48
107,49
108,47
108,48
108,49
108,50
108,87
109,49
109,50
109,51
109,52
109,87
109,88
109,116
109,117
110,51
110,52
110,114
110,115
110,116
110,117
111,89
111,90
111,91
111,115
111,116
112,90
112,91
112,92
113,187
113,188
113,189
113,190
114,187
114,188
114,189
114,210
114,211
114,212
114,213
115,148
115,149
115,150
115,210
115,211
115,212
115,213
116,148
116,149
116,150
116,182
117,144
117,145
117,182
118,24
119,38
119,39
120,37
120,38
121,35
121,36
122,34
122,35
123,12
124,47
124,48
124,84
124,85
125,51
125,52
125,53
125,84
126,51
126,52
126,53
126,113
126,115
127,91
127,92
127,93
127,113
127,114
127,115
128,91
128,92
128,93
129,190
129,191
129,192
130,190
130,191
130,208
130,210
131,150
131,152
131,153
131,208
131,210
132,150
132,152
132,153
132,179
132,180
132,181
133,25
133,179
133,180
133,181
133,182
134,24
134,25
134,180
134,182
135,39
136,39
137,34
138,34
139,11
139,12
139,82
139,85
140,11
140,80
140,81
140,82
140,83
140,84
141,53
141,55
141,56
141,81
141,82
141,84
142,55
142,56
142,57
142,109
142,110
142,111
143,94
143,95
143,96
143,109
143,110
143,111
144,93
144,94
144,95
144,96
145,192
145,193
145,194
146,192
146,193
146,194
146,205
146,206
146,207
147,153
147,154
147,155
147,205
147,206
147,207
148,153
148,154
148,155
148,176
148,178
149,25
149,175
149,176
149,177
149,178
149,179
149,180
150,25
150,40
151,40
152,40
153,33
154,33
155,11
155,33
156,10
156,77
156,78
156,79
156,80
156,81
156,82
157,57
157,58
157,59
157,79
157,81
158,57
158,58
158,59
158,107
158,108
158,109
159,96
159,97
159,98
159,107
159,108
159,109
160,96
160,97
160,98
161,195
161,196
161,197
162,195
162,196
162,197
162,201
162,203
162,204
163,156
163,157
163,159
163,201
163,203
163,204
164,156
164,157
164,159
164,173
164,174
164,176
165,26
165,172
165,173
165,174
165,175
165,176
166,26
166,41
167,41
168,41
169,32
170,32
171,10
171,32
172,10
172,74
172,75
172,76
172,77
172,78
173,61
173,62
173,63
173,76
174,61
174,62
174,63
174,103
174,104
174,105
175,98
175,99
175,100
175,103
175,104
175,105
176,98
176,99
176,100
177,197
177,198
177,199
178,198
178,199
178,200
179,159
179,160
179,161
179,199
179,200
179,201
180,159
180,160
180,161
180,170
180,171
181,26
181,27
181,169
181,170
181,171
181,172
181,173
182,27
182,42
183,42
183,43
184,29
184,43
185,29
185,30
186,30
186,31
187,9
187,31
188,9
188,10
188,71
188,72
188,73
188,74
188,75
188,76
189,63
189,64
189,65
189,71
189,72
189,73
189,74
190,63
190,64
190,65
190,102
190,103
191,101
191,102
191,103
192,101
192,102
193,162
193,164
193,198
193,199
194,162
194,164
194,199
195,162
195,163
195,164
196,162
196,163
196,164
196,166
196,168
196,169
197,162
197,163
197,166
197,167
197,168
197,169
198,27
198,28
198,167
198,169
199,27
199,28
200,7
200,29
200,43
201,7
201,29
201,30
202,8
202,30
203,8
203,9
203,70
204,69
204,70
204,71
204,72
205,66
205,67
205,68
205,69
205,71
206,65
206,66
206,67
206,68
207,65
207,66
207,67
207,102
208,66
208,67
208,101
208,102
209,164
209,165
209,199
210,164
210,165
210,199
211,164
211,165
212,164
212,165
212,166
213,165
213,166
213,167
214,3
214,28
214,166
214,167
215,7
215,28
215,167
216,7
216,28
217,7
217,8
218,5
218,7
218,8
219,5
219,8
219,69
219,70
220,5
220,8
220,69
221,67
221,68
221,69
222,67
222,68
223,67
223,68
223,102
224,67
224,68
224,102
225,3
225,164
225,165
226,3
226,164
226,165
227,3
227,164
227,165
228,3
228,164
228,165
228,166
229,2
229,3
229,165
229,166
229,167
230,2
230,3
230,166
231,6
232,6
233,6
234,6
235,4
235,5
235,69
236,4
236,5
236,68
236,69
236,70
237,5
237,67
237,68
237,69
238,5
238,67
238,68
239,5
239,67
239,68
239,102
240,5
240,67
240,68
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1